time_min,0.0,11.92927500865018,23.927556396495838,36.11121168551206,48.186573876837926,59.99667966868998,72.44467994989233,84.85201791478625,96.97247124165088,106.67189699267672,118.55578197721553,130.54236580614878,142.64215391942056,154.9429455584124,166.97113629995647,179.09711439521573,191.26268243749706,203.55155367746443
75.0,20576.994831,10797.616051,11940.569036,11788.707285,13662.616494,24806.281925,14236.437411,14207.541547,15372.456668,17743.006514,17279.112214,20057.500051,21853.683595,25214.024549,26324.387583,25113.669418,27642.091055,18994.698815
80.0,18267.262654,8693.578705,9793.152153,10152.085183,11475.42907,20819.347799,11989.865844,12104.920408,13087.272341,14930.908514,15024.925834,16675.397568,18582.635704,22682.685461,25456.746315,25089.842247,28633.773521,23670.607534
85.0,15641.179677,8065.421797,9409.109035,7954.761943,9381.230015,17817.367748,10364.491045,10251.324915,10447.312321,13308.779477,12996.895512,14013.094019,16382.605467,19447.621577,22575.813727,23361.991442,30988.703447,27267.750441
90.0,14196.782614,6473.573757,6974.111099,6636.945928,7714.407906,15575.881448,9210.228203,9296.308864,9532.753421,11269.50969,11119.566672,11926.827271,14547.920222,16882.814098,19696.610105,21044.937809,29196.60501,27789.281153
95.0,13374.445597,5723.93248,6281.819945,5635.836809,7258.595678,12590.152034,7841.970734,8629.454761,8268.076762,9790.953977,8863.181364,10339.873327,12708.338322,14153.576481,17927.164815,20350.583715,30136.892421,27131.942968
100.0,12869.409702,4616.294693,5818.817141,5673.663023,6216.776446,10833.871499,6677.652839,8977.884316,7083.550239,8436.464845,8281.172716,8976.042436,10459.06183,12741.855844,14674.473139,17283.728346,30957.708433,29235.115622
105.0,12614.34623,4307.408352,4779.583538,4940.912953,5429.03533,9365.043248,5601.321764,9969.150228,6978.717071,7058.322772,8025.957659,8145.27484,9112.386317,10379.181487,13757.250233,15609.826266,29393.049856,29991.137954
110.0,10572.223908,3872.177667,3918.039516,3286.359861,5099.973647,8474.792178,5448.90137,11558.687147,7596.94487,6822.093223,6045.818141,7225.701785,8173.233464,9104.373478,11995.830575,14655.579,26297.36603,26751.171533
115.0,10554.966442,3841.316233,4766.951162,4589.223109,4443.25209,7753.809587,5189.074067,10944.40825,8275.045309,6694.076051,6276.739078,6167.304939,7879.313827,7949.266631,9980.636982,14535.477781,27591.752392,24846.411179
120.0,9196.172486,2666.218573,3287.310726,2707.045563,4024.887732,6611.931054,4760.973202,12229.583504,9989.086853,6204.114596,5084.009294,5714.754103,7483.726625,7851.382933,10267.296688,13965.774161,25255.299026,24590.638112
125.0,9641.193832,2593.227245,2651.367621,2780.150656,3552.28156,6152.698768,3598.706139,12607.18261,11381.846104,6710.498232,5246.461082,5218.782552,5920.085282,6659.990338,8837.094036,14726.899279,23543.59565,24788.045688
130.0,8429.698745,2331.5882,3335.552017,2172.953663,3217.385404,5248.528082,3243.731752,13387.681356,11333.591613,7807.369949,4284.143682,4311.131936,5108.070664,5761.507532,9001.747706,15443.226774,22656.950061,18073.223051
135.0,7195.135009,2194.757836,2855.144889,1987.825179,2999.203346,3751.128232,3120.04236,14003.755072,12091.03485,8562.629074,5398.937936,3818.709741,4194.625588,4256.245907,5753.221762,16835.943598,24721.008246,21094.150205
140.0,5383.03363,2566.980812,1437.4729,1686.55736,2773.918099,4040.907252,3218.418525,11283.682449,13900.563242,8801.204059,5285.422724,2749.774387,4315.767883,5169.958702,6585.747569,17031.760469,21816.856803,19521.127714
145.0,6026.689078,1544.362897,2185.901838,1145.462608,2368.965681,3137.954558,1258.551112,11126.129798,13089.278054,10683.58318,5722.40647,3705.048906,3758.163916,3979.338231,4853.367212,18058.269684,22498.041721,18368.551044
